demetrio_aguilera_malta	male dramatists and playwrights
demetrio_aguilera_malta	male novelists
demetrio_aguilera_malta	male short story writers
demetrio_aguilera_malta	people from guayaquil
demetrios_bernardakis	1833 births
demetrios_bernardakis	1907 deaths
demetrios_bernardakis	19th-century greek dramatists and playwrights
demetrios_bernardakis	demetrios bernardakis was a polymath writer and professor of
demetrios_bernardakis	greek dramatists and playwrights
demetrios_bernardakis	national and kapodistrian university of athens faculty
demetrios_bernardakis	people from mytilene
denis_gifford	1927 births
denis_gifford	2000 deaths
denis_gifford	20th-century british historians
denis_gifford	animation historians
denis_gifford	british comics artists
denis_gifford	british comics writers
denis_gifford	british film historians
denis_gifford	british male writers
denis_gifford	british non-fiction writers
denis_gifford	comic book collecting
denis_gifford	comics critics
denis_gifford	denis gifford was a british writer broadcaster journalist comic
denis_johnson	1949 births
denis_johnson	20th-century american dramatists and playwrights
denis_johnson	21st-century american novelists
denis_johnson	21st-century american poets
denis_johnson	21st-century american short story writers
denis_johnson	american male dramatists and playwrights
denis_johnson	american male novelists
denis_johnson	american male poets
denis_johnson	american male short story writers
denis_johnson	denis hale johnson is an american writer best known for his short
denis_johnson	german emigrants to the united states
denis_johnson	guggenheim fellows
denis_johnson	iowa writers' workshop alumni
denis_johnson	national book award winners
denis_johnson	o. henry award winners
denis_johnson	people from munich
denis_johnson	postmodern writers
denis_norden	1922 births
denis_norden	denis mostyn norden cbe is a retired english comedy writer and
denis_norden	english jews
denis_norden	english male comedians
denis_norden	english radio personalities
denis_norden	english television personalities
denis_norden	english television presenters
denis_norden	english television writers
denis_norden	people educated at the city of london school
denis_norden	people from hackney
denis_taaffe	1759 births
denis_taaffe	1813 deaths
denis_taaffe	denis taaffe or dennis taafe was an irish political writer also
denis_taaffe	irish historians
denis_taaffe	irish political writers
denis_thériault	1959 births
denis_thériault	canadian male novelists
denis_thériault	canadian novelists in french
denis_thériault	denis thériault is a quebec writer. his first novel l'iguane
denis_thériault	people from sept-îles quebec
denis_thériault	writers from quebec
denis_tillinac	denis tillinac is a conservative french writer and journalist
denis_tillinac	french journalists
denis_tillinac	french male writers
denis_tillinac	french political pundits
denis_tillinac	french political writers
denis_tillinac	roman catholic writers
denise_mina	1966 births
denise_mina	20th-century scottish novelists
denise_mina	20th-century women writers
denise_mina	21st-century scottish novelists
denise_mina	21st-century women writers
denise_mina	alumni of the university of glasgow
denise_mina	alumni of the university of strathclyde
denise_mina	barry award winners
denise_mina	denise mina is a scottish crime writer and playwright. she has
denise_mina	female comics writers
denise_mina	members of the detection club
denise_mina	people from glasgow
denise_mina	scottish comics writers
denise_mina	scottish crime fiction writers
denise_mina	scottish dramatists and playwrights
denise_mina	scottish mystery writers
denise_mina	scottish women novelists
denise_mina	women dramatists and playwrights
denise_mina	women mystery writers
denise_robertson	1932 births
denise_robertson	2016 deaths
denise_robertson	deaths from cancer in england
denise_robertson	deaths from pancreatic cancer
denise_robertson	denise robertson mbe dl was a british writer and television broadcaster. she
denise_robertson	deputy lieutenants of durham
denise_robertson	english people of irish descent
denise_robertson	english television presenters
denise_robertson	members of the order of the british empire
denise_robertson	people from sunderland tyne and wear
dennis_denisoff	20th-century canadian novelists
dennis_denisoff	20th-century canadian poets
dennis_denisoff	21st-century canadian novelists
dennis_denisoff	canadian anthologists
dennis_denisoff	canadian male novelists
dennis_denisoff	canadian male poets
dennis_denisoff	dennis denisoff is a canadian author and scholar. he completed
dennis_denisoff	gay writers
dennis_denisoff	lgbt novelists
dennis_denisoff	lgbt poets
dennis_denisoff	lgbt writers from canada
dennis_denisoff	mcgill university alumni
dennis_denisoff	ryerson university faculty
dennis_denisoff	year of birth missing living people
dennis_eichhorn	1945 births
dennis_eichhorn	2015 deaths
dennis_eichhorn	american comics writers
dennis_eichhorn	boise state university alumni
dennis_eichhorn	deaths from pneumonia
dennis_eichhorn	dennis p. eichhorn was an american writer best known for his
dennis_eichhorn	underground cartoonists
dennis_eichhorn	university of idaho alumni
dennis_eichhorn	whitman college alumni
dennis_eichhorn	writers from boise idaho
dennis_kelly	1970 births
dennis_kelly	alumni of goldsmiths university of london
dennis_kelly	british dramatists and playwrights
dennis_kelly	british male screenwriters
dennis_kelly	dennis kelly is a british writer for film television and theatre. he
dennis_kelly	drama desk award winners
dennis_kelly	english dramatists and playwrights
dennis_kelly	english male dramatists and playwrights
dennis_kelly	english television writers
dennis_kelly	people from barnet
dennis_kelly	showrunners
dennis_kelly	tony award winners
dennis_kelly	writers from london
dennis_mallonee	1955 births
dennis_mallonee	american comics writers
dennis_mallonee	comic book publishers people
dennis_mallonee	dennis mallonee is an american writer of comic books
dennis_marks_:screenwriter	1932 births
dennis_marks_:screenwriter	2006 deaths
dennis_marks_:screenwriter	american male voice actors
dennis_marks_:screenwriter	american television producers
dennis_marks_:screenwriter	american television writers
dennis_marks_:screenwriter	dennis marks was an american screenwriter producer and voice
dennis_marks_:screenwriter	duke university alumni
dennis_marks_:screenwriter	male television writers
dennis_marks_:screenwriter	writers from new york city
dennis_o'neil	1939 births
dennis_o'neil	american comics writers
dennis_o'neil	comic book editors
dennis_o'neil	comics scholars
dennis_o'neil	dennis j. 'denny' o'neil is an american comic book writer and
dennis_o'neil	silver age comics creators
dennis_o'neil	writers from st. louis
dennis_spooner	1932 births
dennis_spooner	1986 deaths
dennis_spooner	20th-century english novelists
dennis_spooner	20th-century english writers
dennis_spooner	bbc people
dennis_spooner	dennis spooner was an english television writer and script editor
dennis_spooner	english contract bridge players
dennis_spooner	english science fiction writers
dennis_spooner	english screenwriters
dennis_spooner	english spy fiction writers
dennis_spooner	english television writers
dennis_spooner	itv people
dennis_spooner	leyton orient f.c. players
dennis_spooner	male novelists
dennis_spooner	male television writers
dennis_spooner	people from tottenham
dennis_spooner	place of death missing
dennis_spooner	writers from london
denton_welch	1915 births
denton_welch	1948 deaths
denton_welch	20th-century english novelists
denton_welch	alumni of goldsmiths university of london
denton_welch	english diarists
denton_welch	english people of american descent
denton_welch	gay writers
denton_welch	male novelists
denton_welch	maurice denton welch was an english writer and painter admired
denton_welch	people educated at repton school
denton_welch	writers from shanghai
denys_colomb_de_daunant	1922 births
denys_colomb_de_daunant	2006 deaths
denys_colomb_de_daunant	albin théodore denys colomb de daunant was a french writer poet
denys_colomb_de_daunant	camargue
denys_colomb_de_daunant	french film directors
denys_colomb_de_daunant	french photographers
denys_val_baker	1917 births
denys_val_baker	1984 deaths
denys_val_baker	british conscientious objectors
denys_val_baker	british magazine editors
denys_val_baker	denys val baker was a welsh writer specialising in short stories
denys_val_baker	english autobiographers
denys_val_baker	english male journalists
denys_val_baker	english memoirists
denys_val_baker	english short story writers
denys_val_baker	male short story writers
denys_val_baker	people from surbiton
denys_val_baker	people from sussex
denys_val_baker	people from york
derek_benz	1971 births
derek_benz	21st-century american novelists
derek_benz	american children's writers
derek_benz	american fantasy writers
derek_benz	american male novelists
derek_benz	derek benz is an american writer of fantasy fiction for children
derek_benz	people from van meter iowa
derek_benz	writers from iowa
derek_blasberg	1982 births
derek_blasberg	american bloggers
derek_blasberg	american editors
derek_blasberg	american male journalists
derek_blasberg	derek charles blasberg is an american writer editor and new york
derek_blasberg	lgbt journalists from the united states
derek_blasberg	new york university alumni
derek_blasberg	writers from st. louis
derek_brown_:editor	1940s births
derek_brown_:editor	british book editors
derek_brown_:editor	british food writers
derek_brown_:editor	derek brown is a british food writer and was editor of the michelin
derek_brown_:editor	michelin guide
derek_brown_:editor	place of birth missing living people
derek_brown_:editor	year of birth missing living people
derek_clendening	1981 births
derek_clendening	canadian horror writers
derek_clendening	derek clendening is a canadian writer who primarily focuses on
derek_clendening	people from fort erie ontario
derek_drymon	1968 births
derek_drymon	american animators
derek_drymon	american cartoonists
derek_drymon	american male comedians
derek_drymon	american male screenwriters
derek_drymon	american storyboard artists
derek_drymon	american television writers
derek_drymon	derek david drymon is an american writer storyboard artist television
derek_drymon	male television writers
derek_drymon	people from morristown new jersey
derek_drymon	spongebob squarepants
derek_drymon	storyboard artists
derek_haas	1970 births
derek_haas	american male screenwriters
derek_haas	derek haas is an american writer and producer
derek_harvie	1974 births
derek_harvie	canadian television producers
derek_harvie	derek kevin harvie is a canadian and british entertainment writer
derek_jewell	1927 births
derek_jewell	1985 deaths
derek_jewell	british music critics
derek_jewell	derek jewell was a british writer broadcaster and music critic. a
derek_kirk_kim	1974 births
derek_kirk_kim	alternative cartoonists
derek_kirk_kim	american comics artists
derek_kirk_kim	american comics writers
derek_kirk_kim	american graphic novelists
derek_kirk_kim	american writers of korean descent
derek_kirk_kim	derek kirk kim is a korean-american writer artist and filmmaker. he
derek_kirk_kim	eisner award winners for talent deserving of wider recognition
derek_kirk_kim	harvey award winners for best new talent
derek_kirk_kim	people from north gyeongsang province
derek_kirk_kim	south korean emigrants to the united states
derek_patmore	1908 births
derek_patmore	1972 deaths
derek_patmore	derek coventry patmore was a british writer. he was the great
derek_patmore	english writers
derek_santos_olson	american male screenwriters
derek_santos_olson	american television writers
derek_santos_olson	derek santos olson is an american television writer. he has worked
derek_santos_olson	male television writers
derek_santos_olson	year of birth missing living people
derenik_demirchian	1877 births
derenik_demirchian	1956 deaths
derenik_demirchian	19th-century armenian writers
derenik_demirchian	20th-century armenian writers
derenik_demirchian	armenian male writers
derenik_demirchian	armenian writers
derenik_demirchian	derenik karapeti demirchian or derenik demirchyan was an armenian
derenik_demirchian	georgian armenians
derenik_demirchian	nersisian school alumni
deric_longden	1936 births
deric_longden	2013 deaths
deric_longden	deaths from cancer in england
deric_longden	deaths from esophageal cancer
deric_longden	deric longden was an english writer and autobiographer. longden
deric_longden	english autobiographers
deric_longden	english screenwriters
deric_longden	people from chesterfield
deric_longden	people from huddersfield
derren_litten	1970 births
derren_litten	20th-century english male actors
derren_litten	21st-century english male actors
derren_litten	derren litten is an english comedy writer and actor. he is best
derren_litten	english comedy writers
derren_litten	english male television actors
derren_litten	male actors from kingston upon hull
derren_litten	people from yorkshire
derrick_o'keefe	1977 births
derrick_o'keefe	canadian anti-war activists
derrick_o'keefe	canadian editors
derrick_o'keefe	canadian métis people
derrick_o'keefe	canadian socialists
derrick_o'keefe	derrick o'keefe is a canadian vancouver-based writer editor and
derrick_o'keefe	métis writers
derrick_white_:politician	1942 births
derrick_white_:politician	2007 deaths
derrick_white_:politician	20th-century royal navy personnel
derrick_white_:politician	derrick o'clancy white was a writer and political activist originally
derrick_white_:politician	people educated at blackrock college
derrick_white_:politician	scottish national party politicians
derrick_white_:politician	scottish socialist party politicians
derviš_sušić	1925 births
derviš_sušić	1990 deaths
derviš_sušić	bosnia and herzegovina writers
derviš_sušić	bosniak writers
derviš_sušić	bosniaks of bosnia and herzegovina
derviš_sušić	derviš sušić was a bosnian / bosniak writer known best for his
derviš_sušić	people from vlasenica
desa_muck	1955 births
desa_muck	desa muck is a slovenian writer children's writer and actor. she
desa_muck	levstik award laureates
desa_muck	people from ljubljana
desa_muck	slovenian actresses
desa_muck	slovenian children's writers
desa_muck	slovenian writers
desmond_devlin	american comedy writers
desmond_devlin	desmond devlin is an american comedy writer. his work has appeared
desmond_devlin	mad magazine people
desmond_fennell	1929 births
desmond_fennell	21st-century writers from northern ireland
desmond_fennell	academics of nui galway
desmond_fennell	desmond carolan fennell is an irish writer cultural philosopher
desmond_fennell	irish male writers
desmond_fennell	male writers from northern ireland
desmond_fennell	people from belfast
desmond_hogan	1950 births
desmond_hogan	20th-century irish writers
desmond_hogan	20th-century short story writers
desmond_hogan	21st-century irish writers
desmond_hogan	21st-century short story writers
desmond_hogan	alumni of university college dublin
desmond_hogan	desmond hogan is an irish writer. awarded the 1977 rooney prize
desmond_hogan	international writing program alumni
desmond_hogan	irish dramatists and playwrights
desmond_hogan	irish male novelists
desmond_hogan	irish novelists
desmond_hogan	irish people convicted of child sexual abuse
desmond_hogan	irish short story writers
desmond_hogan	irish travel writers
desmond_hogan	john llewellyn rhys prize winners
desmond_hogan	lgbt dramatists and playwrights
desmond_hogan	lgbt novelists
desmond_hogan	lgbt writers from ireland
desmond_hogan	male dramatists and playwrights
desmond_hogan	male short story writers
desmond_hogan	people from ballinasloe
desmond_hogan	people from county galway
devaki_nandan_khatri	1861 births
devaki_nandan_khatri	1913 deaths
devaki_nandan_khatri	artists from varanasi
devaki_nandan_khatri	devaki nandan khatri was an indian writer who belonged to the
devaki_nandan_khatri	hindi-language writers
devaki_nandan_khatri	indian writers
devaki_nandan_khatri	people from varanasi
devan_:writer	1913 births
devan_:writer	1957 deaths
devan_:writer	for the singer see devan ekambaram. for the actor see devan . devan
devan_:writer	people from thanjavur district
devan_:writer	tamil-language writers
devananda_bharali	1883 births
devananda_bharali	1972 deaths
devananda_bharali	20th-century indian dramatists and playwrights
devananda_bharali	20th-century indian writers
devananda_bharali	20th-century translators
devananda_bharali	devananda bharali was a pioneer linguistic writer translator
devananda_bharali	indian male dramatists and playwrights
devananda_bharali	indian translators
devananda_bharali	people from sivasagar district
devananda_bharali	writers from assam
devananda_bharali	writers from northeast india
devendranath_sharma	devendranath sharma was a writer and scholar of hindi literature. he
devendranath_sharma	hindi-language writers
devendranath_sharma	indian literary critics
devendranath_sharma	indian male dramatists and playwrights
devendranath_sharma	indian male essayists
devendranath_sharma	writers from bihar
devi_prasad_bagrodia	1939 births
devi_prasad_bagrodia	devi prasad bagrodia is a noted writer social worker and tea
devi_prasad_bagrodia	indian planters
devi_prasad_bagrodia	indian writers
devi_prasad_bagrodia	writers from assam
devin_k.grayson	1970s births
devin_k.grayson	american comics writers
devin_k.grayson	bard college alumni
devin_k.grayson	bisexual women
devin_k.grayson	bisexual writers
devin_k.grayson	devin kalile grayson is an american writer of comic books and
devin_k.grayson	female comics writers
devin_k.grayson	lgbt comics creators
devin_k.grayson	lgbt writers from the united states
devin_k.grayson	pseudonymous writers
devin_k.grayson	writers from new haven connecticut
devin_k.grayson	year of birth missing living people
deviprasad_dwivedi	1956 births
deviprasad_dwivedi	assam university faculty
deviprasad_dwivedi	indian scholars
deviprasad_dwivedi	indian writers
deviprasad_dwivedi	nilamber dev sharma is an indian writer and teacher known for
deviprasad_dwivedi	people from varanasi
deviprasad_dwivedi	recipients of the padma shri in literature & education
deviprasad_dwivedi	sampurnanand sanskrit university alumni
deviprasad_dwivedi	sanskrit scholars
devon_lehr	american male screenwriters
devon_lehr	devon lehr is an american television writer and screenwriter. lehr
devon_lehr	new york university alumni
devon_lehr	state university of new york alumni
devon_lehr	year of birth missing living people
devon_monk	21st-century american novelists
devon_monk	21st-century women writers
devon_monk	american fantasy writers
devon_monk	american women novelists
devon_monk	devon monk is an american writer of urban fantasy novels. she
devon_monk	urban fantasy writers
devon_monk	women science fiction and fantasy writers
devon_monk	writers from oregon
devon_shepard	american television producers
devon_shepard	american television writers
devon_shepard	devon k. shepard is an american television writer and producer. his
devon_shepard	male television writers
devon_shepard	place of birth missing living people
devon_shepard	year of birth missing living people
dewi_lestari	1976 births
dewi_lestari	dewi 'dee' lestari simangunsong is an indonesian writer singer
dewi_lestari	indonesian female singers
dewi_lestari	indonesian songwriters
dewi_lestari	indonesian writers
dewi_lestari	maya award winners
dewi_lestari	people from bandung
dewi_lestari	people of batak descent
dhananjay_keer	1913 births
dhananjay_keer	1984 deaths
dhananjay_keer	anant vithal known by his alias dhananjay keer was an indian
dhananjay_keer	indian writers
dhananjay_keer	recipients of the padma bhushan in literature & education
dhanashree_halbe	1928 births
dhanashree_halbe	articles created via the article wizard
dhanashree_halbe	dhanashree halbe is a well-known marathi writer. she is also
dhanashree_halbe	indian translators
dhanashree_halbe	marathi-language writers
dharanidhar_sahu	1948 births
dharanidhar_sahu	dr dharanidhar sahu is an english writer from india. he is a
dharanidhar_sahu	english writers
dharanidhar_sahu	indian writers
dharmendar_kanwar	dharmendar kanwar is a writer who studied at the maharani gayatri
dharmendar_kanwar	indian travel writers
dharmendar_kanwar	people from rajasthan
dheeraj_rattan	1974 births
dheeraj_rattan	21st-century indian film directors
dheeraj_rattan	dheeraj rattan is an indian writer and director best known for
dheeraj_rattan	indian male screenwriters
dhimitër_pasko	1907 births
dhimitër_pasko	1967 deaths
dhimitër_pasko	20th-century albanian poets
dhimitër_pasko	20th-century albanian politicians
dhimitër_pasko	20th-century short story writers
dhimitër_pasko	20th-century translators
dhimitër_pasko	albanian diplomats
dhimitër_pasko	albanian economists
dhimitër_pasko	albanian expatriates in romania
dhimitër_pasko	albanian journalists
dhimitër_pasko	albanian male poets
dhimitër_pasko	albanian nationalists
dhimitër_pasko	albanian short story writers
dhimitër_pasko	albanian translators
dhimitër_pasko	dhimitër pasko  alias mitrush kuteli was an albanian writer and
dhimitër_pasko	eastern orthodox christians from albania
dhimitër_pasko	male journalists
dhimitër_pasko	male short story writers
dhimitër_pasko	people from pogradec
dhimitër_pasko	translators from romanian
dhimitër_pasko	translators from russian
dhimitër_pasko	translators from spanish
dhimitër_pasko	translators to albanian
dhimitër_xhuvani	1934 births
dhimitër_xhuvani	2009 deaths
dhimitër_xhuvani	20th-century albanian writers
dhimitër_xhuvani	21st-century albanian writers
dhimitër_xhuvani	albanian screenwriters
dhimitër_xhuvani	dhimitër xhuvani was an albanian writer and screenwriter
dhimitër_xhuvani	people from pogradec
dhirubhai_thaker	1918 births
dhirubhai_thaker	2014 deaths
dhirubhai_thaker	dhirubhai thaker was an indian gujarati writer who was best known
dhirubhai_thaker	gujarati-language writers
dhirubhai_thaker	indian encyclopedists
dhirubhai_thaker	people from ahmedabad district
dhirubhai_thaker	people from junagadh district
dhirubhai_thaker	recipients of the padma bhushan in literature & education
dhirubhai_thaker	writers from gujarat
dhrubajyoti_bora	1955 births
dhrubajyoti_bora	20th-century indian novelists
dhrubajyoti_bora	dhrubajyoti bora  a medical doctor by profession is a guwahati-based
dhrubajyoti_bora	gauhati university alumni
dhrubajyoti_bora	indian historians
dhrubajyoti_bora	indian male novelists
dhrubajyoti_bora	people from shillong
dhrubajyoti_bora	recipients of the sahitya akademi award in assamese
dhrubajyoti_bora	writers from assam
dhrubajyoti_bora	writers from meghalaya
dhruva_chatterjee	dhruva chatterjee or dhruv chatterjee was a noted writer and
dhruva_chatterjee	indian male screenwriters
diamond_shumsher_rana	1918 births
diamond_shumsher_rana	2011 deaths
diamond_shumsher_rana	20th-century novelists
diamond_shumsher_rana	diamond shumsher rana was a nepali writer and political activist
diamond_shumsher_rana	nepalese novelists
diamond_shumsher_rana	nepalese politicians
diamond_shumsher_rana	nepalese writers
diamond_shumsher_rana	people from palpa district
diana_abgar	1859 births
diana_abgar	1937 deaths
diana_abgar	ambassadors of armenia to japan
diana_abgar	armenian christians
diana_abgar	armenian writers
diana_abgar	burmese armenians
diana_abgar	diana apcar was an armenian writer diplomat and ambassador to
diana_abgar	female diplomats
diana_abgar	indian armenians
diana_abgar	people from yangon
diana_abgar	people of the first republic of armenia
diana_atkinson	20th-century canadian novelists
diana_atkinson	20th-century essayists
diana_atkinson	20th-century women writers
diana_atkinson	canadian essayists
diana_atkinson	canadian magazine writers
diana_atkinson	canadian women novelists
diana_atkinson	concordia university alumni
diana_atkinson	diana atkinson née wigod is a canadian writer who was a shortlisted
diana_atkinson	jewish canadian writers
diana_atkinson	writers from vancouver
diana_bachmann	1950 births
diana_bachmann	british thriller writers
diana_bachmann	british writers
diana_bachmann	diana bachmann was a british writer of 6 historical novels from
diana_bachmann	guernsey writers
diana_browning	1928 births
diana_browning	american romantic fiction writers
diana_browning	florence hershman is an american writer of over a dozen romance
diana_browning	place of birth missing living people
diana_e.h.russell	1938 births
diana_e.h.russell	anti-apartheid activists
diana_e.h.russell	anti-pornography feminists
diana_e.h.russell	anti-prostitution feminists
diana_e.h.russell	diana e. h. russell is a feminist writer and activist. born and
diana_e.h.russell	feminist studies scholars
diana_e.h.russell	harvard university alumni
diana_e.h.russell	radical feminists
diana_e.h.russell	sexual abuse victims activists
diana_e.h.russell	south african expatriates in the united kingdom
diana_e.h.russell	south african expatriates in the united states
diana_e.h.russell	south african feminists
diana_e.h.russell	south african non-fiction writers
diana_e.h.russell	south african people of english descent
diana_e.h.russell	south african sociologists
diana_e.h.russell	south african women writers
diana_e.h.russell	south african women's rights activists
diana_e.h.russell	white south african people
diana_hamilton	2009 deaths
diana_hamilton	diana hamilton was a popular british writer of 50 romance novels
diana_hamilton	english romantic fiction writers
diana_hamilton	english women novelists
diana_hamilton	women romantic fiction writers
diana_hamilton	year of birth missing
diana_hart	1963 births
diana_hart	american people of canadian descent
diana_hart	american people of greek descent
diana_hart	american people of irish descent
diana_hart	american people of scotch-irish descent
diana_hart	canadian female models
diana_hart	canadian non-fiction writers
diana_hart	canadian people of american descent
diana_hart	canadian people of greek descent
diana_hart	canadian people of irish descent
diana_hart	canadian people of ulster-scottish descent
diana_hart	canadian women writers
diana_hart	diana joyce hart-smith is a canadian-american writer model and
diana_hart	hart wrestling family
diana_hart	professional wrestling managers and valets
diana_hart	ulster-scottish canadian
diana_hart	writers from calgary
diana_morgan_:novelist	20th-century american writers
diana_morgan_:novelist	20th-century women writers
diana_morgan_:novelist	american romantic fiction writers
diana_morgan_:novelist	american women novelists
diana_morgan_:novelist	diana morgan was a united states writer of romance novels from
diana_morgan_:novelist	place of birth missing living people
diana_morgan_:novelist	possibly living people
diana_morgan_:novelist	women romantic fiction writers
diana_morgan_:novelist	year of birth missing living people
diana_morgan_:writer	1913 births
diana_morgan_:writer	british romantic fiction writers
diana_morgan_:writer	diana morgan is a british writer of romance novels. she was elected
diana_morgan_:writer	place of birth missing living people
diana_morgan_:writer	possibly living people
diana_ossana	american screenwriters
diana_ossana	american women screenwriters
diana_ossana	american writers of italian descent
diana_ossana	bafta winners people
diana_ossana	best adapted screenplay academy award winners
diana_ossana	best screenplay golden globe winners
diana_ossana	diana lynn ossana is an american writer who has collaborated
diana_ossana	eastern new mexico university alumni
diana_ossana	golden globe award-winning producers
diana_ossana	women film producers
diana_ossana	writers from missouri
diana_ossana	writers guild of america award winners
diana_rowland	21st-century american novelists
diana_rowland	21st-century women writers
diana_rowland	american fantasy writers
diana_rowland	american women novelists
diana_rowland	dark fantasy writers
diana_rowland	diana rowland is an urban fantasy writer and is best known for
diana_rowland	women science fiction and fantasy writers
diana_wynne_jones	1934 births
diana_wynne_jones	2011 deaths
diana_wynne_jones	20th-century english novelists
diana_wynne_jones	20th-century short story writers
diana_wynne_jones	20th-century women writers
diana_wynne_jones	alumni of st anne's college oxford
diana_wynne_jones	british women short story writers
diana_wynne_jones	british writers of young adult literature
diana_wynne_jones	deaths from lung cancer
diana_wynne_jones	diana wynne jones was a british writer principally of fantasy
diana_wynne_jones	english atheists
diana_wynne_jones	english children's writers
diana_wynne_jones	english fantasy writers
diana_wynne_jones	english women novelists
diana_wynne_jones	guardian children's fiction prize winners
diana_wynne_jones	people educated at friends school saffron walden
diana_wynne_jones	people from thaxted
diana_wynne_jones	women science fiction and fantasy writers
diana_wynne_jones	women writers of young adult literature
diana_wynne_jones	world fantasy award-winning writers
diane_burroughs	american television producers
diane_burroughs	american television writers
diane_burroughs	diane burroughs is a writer and producer of sitcoms for american
diane_burroughs	women television writers
diane_burroughs	year of birth missing living people
diane_carey	1954 births
diane_carey	20th-century american novelists
diane_carey	20th-century women writers
diane_carey	21st-century american novelists
diane_carey	21st-century women writers
diane_carey	american romantic fiction writers
diane_carey	american science fiction writers
diane_carey	american women novelists
diane_carey	diane l. carey-brodeur is an american fiction writer publishing
diane_carey	women romantic fiction writers
diane_carey	women science fiction and fantasy writers
diane_carey	writers from flint michigan
diane_fanning	21st-century american novelists
diane_fanning	21st-century women writers
diane_fanning	american bloggers
diane_fanning	american crime fiction writers
diane_fanning	american mystery writers
diane_fanning	american non-fiction crime writers
diane_fanning	american women novelists
diane_fanning	diane fanning is an american crime writer and author who writes
diane_fanning	lynchburg college alumni
diane_fanning	people from bedford virginia
diane_fanning	people from new braunfels texas
diane_fanning	women bloggers
diane_fanning	women mystery writers
diane_fanning	writers from baltimore
diane_fanning	writers from texas
diane_fanning	writers from virginia
diane_fanning	year of birth missing living people
diane_messina_stanley	american soap opera writers
diane_messina_stanley	american television producers
diane_messina_stanley	american television writers
diane_messina_stanley	diane messina stanley is an american television writer and producer
diane_messina_stanley	women soap opera writers
diane_messina_stanley	women television writers
diane_ruggiero	american soap opera writers
diane_ruggiero	american television producers
diane_ruggiero	american television writers
diane_ruggiero	diane ruggiero-wright /ˈruːʒɪəroʊ/ is an american television
diane_ruggiero	people from north arlington new jersey
diane_ruggiero	people from old bridge township new jersey
diane_ruggiero	women soap opera writers
diane_ruggiero	women television writers
dianne_bates	1948 births
dianne_bates	australian women writers
dianne_bates	dianne 'di' bates is an australian writer and teacher . bates
dianne_nelson	1954 births
dianne_nelson	american short story writers
dianne_nelson	arizona state university alumni
dianne_nelson	dianne nelson oberhansly is an american short story writer. she
dianne_nelson	writers from utah
dibyendu_palit	1939 births
dibyendu_palit	bengali writers
dibyendu_palit	dibyendu palit  is a bengali writer of poems novels and short
dibyendu_palit	people from bhagalpur
dibyendu_palit	people from bihar
dibyendu_palit	recipients of the ananda purashkar
dibyendu_palit	recipients of the sahitya akademi award
dibyendu_palit	recipients of the sahitya akademi award in bengali
dibyendu_palit	university of calcutta alumni
dick_clement	1937 births
dick_clement	dick clement obe is an english writer known for his writing partnership
dick_clement	english film directors
dick_clement	english screenwriters
dick_clement	english television writers
dick_clement	officers of the order of the british empire
dick_clement	people educated at alleyn court school
dick_clement	people educated at bishop's stortford college
dick_clement	people from westcliff-on-sea
dick_debartolo	1945 births
dick_debartolo	american satirists
dick_debartolo	dick debartolo is an american writer and model railway enthusiast
dick_debartolo	gay entertainers
dick_debartolo	gay writers
dick_debartolo	mad magazine people
dick_debartolo	place of birth missing living people
dick_king-smith	1922 births
dick_king-smith	2011 deaths
dick_king-smith	20th-century english novelists
dick_king-smith	21st-century british novelists
dick_king-smith	british army personnel of world war ii
dick_king-smith	british children's writers
dick_king-smith	guardian children's fiction prize winners
dick_king-smith	officers of the order of the british empire
dick_king-smith	people educated at beaudesert park school
dick_king-smith	people educated at marlborough college
dick_king-smith	people from bristol
dick_king-smith	people from south gloucestershire district
dick_king-smith	ronald gordon king-smith obe hon.med was a prolific english writer
dick_matena	1943 births
dick_matena	artists from the hague
dick_matena	dick matena is a dutch comics writer and cartoonist. he has also
dick_matena	dutch cartoonists
dick_matena	dutch comics artists
dick_matena	dutch comics writers
didi_menosi	1928 births
didi_menosi	2013 deaths
didi_menosi	20th-century dramatists and playwrights
didi_menosi	deaths from parkinson's disease
didi_menosi	didi menosi was an israeli writer journalist poet lyricist dramatist
didi_menosi	disease-related deaths in israel
didi_menosi	hebrew university of jerusalem alumni
didi_menosi	israeli dramatists and playwrights
didi_menosi	israeli jews
didi_menosi	israeli journalists
didi_menosi	israeli lyricists
didi_menosi	israeli people of polish-jewish descent
didi_menosi	israeli poets
didi_menosi	israeli satirists
didi_menosi	israeli writers
didi_menosi	people from afula
didier_leclair	1967 births
didier_leclair	black canadian writers
didier_leclair	canadian male novelists
didier_leclair	canadian novelists in french
didier_leclair	didier leclair is a canadian francophone fiction writer currently
didier_leclair	writers from montreal
didier_leclair	writers from toronto
diego_de_torres_villarroel	1693 births
diego_de_torres_villarroel	1770 deaths
diego_de_torres_villarroel	age of enlightenment
diego_de_torres_villarroel	diego de torres villarroel was a spanish writer poet dramatist
diego_de_torres_villarroel	leonese-language writers
diego_de_torres_villarroel	people from salamanca
diego_de_torres_villarroel	spanish male writers
diego_de_torres_villarroel	university of salamanca alumni
diego_de_torres_villarroel	university of salamanca faculty
diego_de_valera	1412 births
diego_de_valera	1488 deaths
diego_de_valera	diego de valera was a spanish writer and historian who wrote
diego_de_valera	spanish historians
diego_de_valera	spanish male writers
diego_odoh_okenyodo	1974 births
